ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Striker, Training: Shooting | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Defender, Training: Shooting | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Excellent dribbling skills 🏃‍♂️💨, improve shooting technique 🎯 | Role: Defender, Training: Shooting | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Defender, Training: Shooting | Rating: 4/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Excellent dribbling skills 🏃‍♂️💨, improve shooting technique 🎯 | Role: Defender, Training: Shooting | Rating: 3/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Good defensive awareness 🛡️, needs more attacking movement ⚡ | Role: Defender, Training: Shooting | Rating: 6/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Excellent dribbling skills 🏃‍♂️💨, improve shooting technique 🎯 | Role: Defender, Training: Shooting | Rating: 7/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Good defensive awareness 🛡️, needs more attacking movement ⚡ | Role: Defender, Training: Shooting | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Striker, Training: Shooting | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Striker, Training: Passing | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Great control on passing 🎯, work on positioning 🔄 | Role: Midfielder, Training: Passing | Rating: 5/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Excellent dribbling skills 🏃‍♂️💨, improve shooting technique 🎯 | Role: Midfielder, Training: Passing | Rating: 6/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Excellent dribbling skills 🏃‍♂️💨, improve shooting technique 🎯 | Role: Midfielder, Training: Passing | Rating: 8/10
ScreenRecording_10-13-2025 16-20-52_1.mov||Good defensive awareness 🛡️, needs more attacking movement ⚡ | Role: Midfielder, Training: Passing | Rating: 7/10
